CODGEO;Part_actif_salaries;Population;Rurale
33001;87,41496599;1598;1
33002;68,69918699;672;1
33003;91,15780258;11204;0
33004;92,19924812;2823;0
33005;81,49417409;9256;0
33006;79,296875;769;1
33007;87,5;821;0
33008;81,44329897;243;1
33009;78,53824714;11459;0
33010;92,02898551;309;1
33011;82,78364116;4669;0
33012;90,80717489;2820;1
33013;88,90474492;5984;0
33014;83,74384236;971;1
33015;80,7518797;1625;0
33016;85,71428571;473;1
33017;87,1559633;259;1
33018;85,5036855;950;0
33019;87,32702112;3943;0
33020;65,90909091;117;1
33021;79,02621723;663;1
33022;88,77419355;1752;1
33023;88,31168831;904;1
33024;74,6835443;173;1
33025;66;245;1
33026;86,79245283;318;1
33027;56,81818182;211;1
33028;87,43315508;867;1
33029;89,80446927;3241;0
33030;86,20218579;1949;1
33031;77,41935484;87;1
33032;94,27198817;6972;0
33033;85,01872659;692;0
33034;85,06493506;420;1
33035;85,36585366;748;1
33036;84,53350031;4352;0
33037;91,02132435;2039;0
33038;75;879;1
33039;91,25321985;22538;0
33040;86,49425287;914;0
33042;86,37295082;2757;0
33043;83,33333333;143;1
33044;73,4939759;202;1
33045;69,71830986;341;1
33046;86,70076726;1075;1
33047;80,62913907;1519;1
33048;72,13114754;166;1
33049;87,1886121;1786;1
33050;75,83892617;416;1
33051;90,03079292;6954;0
33052;86,56716418;816;0
33053;75,34246575;181;1
33054;84,84848485;221;1
33055;68,31683168;239;1
33056;92,00382287;13902;0
33057;71,59533074;711;1
33058;90,0476758;4668;0
33059;91,34615385;249;1
33060;78,53403141;436;1
33061;87,20238095;734;0
33062;88,85017422;623;1
33063;87,41139988;215374;0
33064;59,25925926;55;1
33065;85,94748048;3244;0
33066;68,57142857;107;1
33067;83,80102041;2118;1
33068;57,89473684;84;1
33069;86,72029976;22457;0
33070;75,6097561;235;1
33071;83,46883469;949;1
33072;65,93406593;173;1
33073;77,25225225;1305;1
33074;79,16666667;148;1
33075;88,94623656;10613;0
33076;82,92682927;630;1
33077;89,66074313;1436;1
33078;81,94444444;337;1
33079;84,375;246;1
33080;89,14849429;4404;0
33081;86,23853211;2365;0
33082;86,4265928;885;1
33083;86,50137741;770;1
33084;79,33194154;1145;0
33085;85,13824885;2089;0
33086;82,9787234;253;1
33087;79,04191617;442;1
33088;86,33093525;388;0
33089;82,66666667;407;1
33090;93,16129032;5121;0
33091;90,64327485;1177;1
33092;60,52631579;173;1
33093;79,93079585;624;1
33094;48,27586207;204;1
33095;86,44067797;1505;1
33096;92,13441654;6620;0
33097;79,34027778;1549;1
33098;87,5;373;1
33099;86,37846656;3095;0
33100;80,60344828;1189;0
33101;77,68115942;872;1
33102;82,69230769;367;1
33103;66,66666667;62;1
33104;89,9917287;3165;0
33105;55,84415584;185;1
33106;87,53180662;1123;1
33107;79,22077922;216;1
33108;83,80855397;3115;0
33109;88,37209302;1512;0
33111;80,48048048;932;1
33112;70;122;1
33113;66,66666667;107;1
33114;78,94736842;1192;1
33115;84,61538462;179;1
33116;81,63265306;224;1
33117;68,42105263;223;1
33118;86,94029851;1806;0
33119;93,01141835;21283;0
33120;87,85046729;1347;1
33121;79,41176471;169;1
33122;91,62096671;16936;0
33123;84,23423423;1764;1
33124;90,42553191;559;1
33125;87,88343558;1535;1
33126;83,08270677;668;1
33127;74,72527473;225;1
33128;74,07407407;502;1
33129;58,06451613;149;1
33130;83,65758755;657;1
33131;84,81012658;179;1
33132;88,96551724;389;1
33133;53,06122449;106;1
33134;70,73170732;209;1
33135;69,6969697;101;1
33136;61;249;1
33137;71,18644068;158;1
33138;87,86150713;7027;0
33139;61,9047619;65;1
33140;88,66608544;2856;0
33141;86,66666667;382;1
33142;83,99014778;1049;1
33143;89,0080429;1787;0
33144;80,73394495;557;1
33145;85;437;1
33146;89,28571429;1352;1
33147;80,86419753;406;1
33148;75;59;1
33149;62,31884058;138;1
33150;64,54545455;263;1
33151;74,01574803;778;1
33152;70,90909091;124;1
33153;61,9047619;230;1
33154;83,86491557;1883;0
33155;84;167;1
33156;60,17699115;244;1
33157;84,36018957;532;1
33158;81,17647059;218;1
33159;86,17234469;1394;1
33160;74,13793103;478;1
33161;83,49514563;580;1
33162;89,48540003;18411;0
33163;75,83333333;310;1
33164;83,77862595;1216;1
33165;86,92152918;2249;0
33166;85,82677165;373;1
33167;92,73858921;16156;0
33168;80,10752688;490;1
33169;76,19047619;116;1
33170;76,78571429;731;1
33171;50,81967213;158;1
33172;77,08333333;279;1
33173;75,34246575;178;1
33174;75,55555556;1044;1
33175;74,7826087;650;1
33176;71,15384615;265;1
33177;80,82758621;1916;0
33178;74,19354839;323;1
33179;86,50717703;2434;1
33180;70,90909091;158;1
33181;80,46875;282;1
33182;84,84848485;825;1
33183;91,13924051;943;1
33184;81,05263158;493;1
33185;81,15449915;1319;1
33186;73,24840764;800;1
33187;84,21052632;1108;0
33188;87,5;171;1
33189;70,66666667;368;1
33190;82,14285714;77;1
33191;86,82170543;373;0
33192;91,25488393;22180;0
33193;78,02690583;728;1
33194;80,65843621;610;1
33195;77,85234899;1058;1
33196;70;156;1
33197;92,30769231;356;1
33198;82,68839104;1475;1
33199;83,56950673;14963;0
33200;91,67121791;8134;0
33201;81,78913738;732;1
33202;76,59574468;741;1
33203;82,50319285;2325;1
33204;75,81699346;438;1
33205;86,825054;1161;1
33206;85,71428571;522;1
33207;91,23529412;3958;0
33208;75,72463768;867;1
33209;73,91304348;221;1
33210;63,73626374;205;1
33211;90,22556391;634;1
33212;74,28571429;97;1
33213;85,6109906;3129;0
33214;76,89655172;3129;1
33215;67,94871795;186;1
33216;73,33333333;116;1
33218;83,00395257;1294;1
33219;87,06467662;1867;1
33220;88,98809524;955;1
33221;79,02439024;1042;1
33222;81,53846154;612;0
33223;64,51612903;161;1
33224;78,04878049;108;1
33225;81,86528497;1505;1
33226;86,61887694;1992;0
