"CODGEO","Part_actif_salaries","Population","Rurale","Prixm2Moyen","Revenu_median","Retraite","Densité_médicale_BV","Score_équipement_santé","Nb_mineurs","Nb_etudiants","nb_entreprises","Score_urbanité"
"33001",87.41496599,1598,"1",1295.78571428571,18458,383.613312202853,0.0982232651692927,3,1866,90,72,0
"33002",68.69918699,672,"1",1527.2,18414.2857142857,256.141583119067,0.140797854508884,4,758,19,35,0
"33003",91.15780258,11204,"0",2117.78151260504,19365.6,2505.40643202481,1,1,13375,841,463,87.5
"33004",92.19924812,2823,"0",1571.54545454545,18685.3333333333,603.320664162374,1,1,3448,182,117,12.5
"33005",81.49417409,9256,"0",3546.73575129534,23989,4677.87280973937,0.14850821320818,2,10633,472,819,37.5
"33006",79.296875,769,"1",1149.61538461538,17620.6666666667,210.473513513514,0.127723768018773,4,916,43,29,0
"33007",87.5,821,"0",1750.33333333333,21034.2857142857,266.557748801636,0.109621186724774,1,964,52,39,12.5
"33008",81.44329897,243,"1",1524.78439393939,19283.3333333333,85.6159420289855,0.140797854508884,4,280,14,12,0
"33009",78.53824714,11459,"0",5019.82973621103,23297.3333333333,5384.94130571148,1,1,12597,500,1549,62.5
"33010",92.02898551,309,"1",1906.33333333333,21079.0476190476,63.4851694915255,0.0898424404961448,4,366,14,15,0
"33011",82.78364116,4669,"0",3126.12631578947,22618.3870967742,2292.71974023065,0.161917532685216,4,5299,177,358,37.5
"33012",90.80717489,2820,"1",2075.66666666667,24550.4347826087,617.744056721606,1,1,3451,299,113,0
"33013",88.90474492,5984,"0",2493.19607843137,21834,1658.85600980498,1,1,7383,725,468,87.5
"33014",83.74384236,971,"1",1573.33333333333,20028.9285714286,206.256221198157,0.137110291652699,4,1161,70,39,0
"33015",80.7518797,1625,"0",1626.15789473684,23144.2857142857,520.649594595788,1,1,1854,100,113,87.5
"33016",85.71428571,473,"1",1830,21262.6086956522,113.842975206611,0.107274555816292,4,559,31,11,0
"33017",87.1559633,259,"1",2235.5,19476.3333333333,52.1947565543071,0.137445524639625,4,316,15,15,0
"33018",85.5036855,950,"0",1733.55555555556,20189.3333333333,674.100179657613,0.107274555816292,4,1124,60,29,37.5
"33019",87.32702112,3943,"0",2263.87128712871,20871.3333333333,1758,0.121689574254107,4,4625,220,180,37.5
"33020",65.90909091,117,"1",2099,17602.7777777778,23.0215827338129,1,1,134,16,1,0
